Date,Predicted_AQI,City
2020-07-09,88.95329275907586,Kochi
2020-07-10,86.70361918644673,Kochi
2020-07-11,87.09989396569532,Kochi
2020-07-02,37.00053318258075,Kolkata
2020-07-03,35.714587393985,Kolkata
2020-07-04,33.54123045899932,Kolkata
2020-07-05,34.521573646701015,Kolkata
2020-07-06,29.52800522747937,Kolkata
2020-07-07,33.483095856742,Kolkata
2020-07-08,33.28200100080812,Kolkata
2020-07-09,30.541231922086723,Kolkata
2020-07-10,29.856796456915646,Kolkata
2020-07-11,28.376347915503388,Kolkata
2020-07-02,36.424788385824456,Lucknow
2020-07-03,30.261806320048336,Lucknow
2020-07-04,24.987819832604544,Lucknow
2020-07-05,23.55931247036075,Lucknow
2020-07-06,19.20572263620133,Lucknow
2020-07-07,21.240226150583723,Lucknow
2020-07-08,18.80077349720331,Lucknow
2020-07-09,14.583355220010489,Lucknow
2020-07-10,10.0,Lucknow
2020-07-11,10.0,Lucknow
2020-07-02,55.84253325338951,Mumbai
2020-07-03,54.960302403005734,Mumbai
2020-07-04,56.82975397277185,Mumbai
2020-07-05,60.94119671638703,Mumbai
2020-07-06,57.902438093932425,Mumbai
2020-07-07,55.48949919618161,Mumbai
2020-07-08,51.975340896173286,Mumbai
2020-07-09,50.34784331389887,Mumbai
2020-07-10,48.98172045423762,Mumbai
2020-07-11,50.46725800549055,Mumbai
2020-07-02,48.422487502652785,Patna
2020-07-03,43.36349274800821,Patna
2020-07-04,37.07531409205042,Patna
2020-07-05,38.010643111012044,Patna
2020-07-06,32.81031545051846,Patna
2020-07-07,35.80707853224001,Patna
2020-07-08,34.928261864914546,Patna
2020-07-09,32.58530645785882,Patna
2020-07-10,28.11428989062823,Patna
2020-07-11,22.585949082727836,Patna
2020-07-02,27.148159790527362,Shillong
2020-07-03,20.858082196280115,Shillong
2020-07-04,21.385496399796416,Shillong
2020-07-05,20.598426838754694,Shillong
2020-07-06,23.770502500972253,Shillong
2020-07-07,22.37933969322225,Shillong
2020-07-08,24.533271517069235,Shillong
2020-07-09,24.284052823257507,Shillong
2020-07-10,17.993975229015085,Shillong
2020-07-11,18.52138943253496,Shillong
2020-07-02,64.93865748331115,Talcher
2020-07-03,59.493899875616634,Talcher
2020-07-04,56.48039014475313,Talcher
2020-07-05,57.25499532936118,Talcher
2020-07-06,57.49461334493739,Talcher
2020-07-07,60.42550329719806,Talcher
2020-07-08,61.290757205209054,Talcher
2020-07-09,61.3361727307115,Talcher
2020-07-10,55.950781740895195,Talcher
2020-07-11,53.04066379784118,Talcher
2020-07-02,35.854833226491216,Thiruvananthapuram
2020-07-03,34.040886803793484,Thiruvananthapuram
2020-07-04,34.44785335293773,Thiruvananthapuram
2020-07-05,30.855383400778997,Thiruvananthapuram
2020-07-06,33.07485744860384,Thiruvananthapuram
2020-07-07,34.436892024762535,Thiruvananthapuram
2020-07-08,35.79627931880652,Thiruvananthapuram
2020-07-09,34.17886065941485,Thiruvananthapuram
2020-07-10,32.75735775417529,Thiruvananthapuram
2020-07-11,33.58107584011664,Thiruvananthapuram
2020-07-02,52.86578721135509,Visakhapatnam
2020-07-03,48.96919638584822,Visakhapatnam
2020-07-04,45.9868938992517,Visakhapatnam
2020-07-05,47.19613801391597,Visakhapatnam
2020-07-06,49.29423558299311,Visakhapatnam
2020-07-07,48.64720699661065,Visakhapatnam
2020-07-08,49.1993845732051,Visakhapatnam
2020-07-09,49.24784321913279,Visakhapatnam
2020-07-10,46.54735351427577,Visakhapatnam
2020-07-11,44.71383417686285,Visakhapatnam
